#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1722463178        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463188        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722463199        2212.930000       265.346000        50.877100         23.842800         0.000000          136.469000        50.877100        
1722463209        2212.930000       262.446000        50.877100         21.071100         0.000000          139.250000        50.877100        
1722463219        2212.930000       262.446000        50.877100         21.071100         0.000000          139.244000        50.877100        
1722463230        2212.930000       262.446000        50.877100         21.071100         0.000000          139.245000        50.877100        
1722463240        2212.930000       262.812000        50.877100         21.083800         0.000000          139.220000        50.877100        
1722463250        2212.930000       262.900000        50.877100         21.176800         0.000000          139.129000        50.877100        
1722463261        2212.930000       263.073000        50.877100         21.349500         0.000000          138.956000        50.877100        
1722463271        2212.930000       262.737000        50.877100         21.392200         0.000000          138.912000        50.877100        
1722463282        2212.930000       262.737000        50.877100         21.392200         0.000000          138.913000        50.877100        
1722463292        2212.930000       262.737000        50.877100         21.392200         0.000000          138.912000        50.877100        
1722463302        2212.930000       262.737000        50.877100         21.392200         0.000000          138.915000        50.877100        
1722463313        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463323        2212.930000       262.737000        50.877100         21.392200         0.000000          138.914000        50.877100        
1722463333        2212.930000       262.737000        50.877100         21.392200         0.000000          138.915000        50.877100        
1722463344        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463354        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463364        2212.930000       262.737000        50.877100         21.392200         0.000000          138.918000        50.877100        
1722463375        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463385        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463395        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463405        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463416        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463426        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463436        2212.930000       262.737000        50.877100         21.392200         0.000000          138.918000        50.877100        
1722463447        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463457        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463467        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463478        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463488        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463498        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463509        2212.930000       262.737000        50.877100         21.392200         0.000000          138.914000        50.877100        
1722463519        2212.930000       262.737000        50.877100         21.392200         0.000000          138.918000        50.877100        
1722463529        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463540        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463550        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463560        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463571        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463581        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463591        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463602        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463613        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463623        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
1722463633        2212.930000       262.737000        50.877100         21.392200         0.000000          138.918000        50.877100        
1722463644        2212.930000       262.737000        50.877100         21.392200         0.000000          138.916000        50.877100        
1722463654        2212.930000       262.737000        50.877100         21.392200         0.000000          138.918000        50.877100        
1722463664        2212.930000       262.737000        50.877100         21.392200         0.000000          138.918000        50.877100        
1722463674        2212.930000       262.737000        50.877100         21.392200         0.000000          138.917000        50.877100        
